Nom,Type,Synonymes,Acronymes,Description
url,Attribut d'instance,,,
depuis,Attribut d'instance,,,
Contenu textuel,Attribut d'instance,,,
ID d’article,Attribut d'instance,,,
numéro,Attribut d'instance,,,
date d'entrée en application,Attribut d'instance,,,
date de fin d'application,Attribut d'instance,,,
date de publication,Attribut d'instance,,,
état d'application,Attribut d'instance,,,
titre,Attribut d'instance,,,
Date,Attribut d'instance,,,
European Legislation Identifier,Attribut d'instance,,ELI,
numéro NOR,Attribut d'instance,,NOR,Le système NOR est un système normalisé de numérotation des textes officiels publiés en France
Version,Concept,,,
Etat d'application,Concept,,,
Texte Consolidé,Concept,,,
Ressource Légale,Concept,,,
Sous-partie de ressource Légale,Concept,,,
Sous-partie de Document,Concept,,,
Type de sous-partie,Concept,,,
Ordonnance,Concept,,,
Document,Concept,Contenu intelectuel,,
Publication officielle,Concept,,,
Loi,Concept,,,
Ressource extérieure,Concept,,,
Décision,Concept,,,
Arrêté,Concept,,,
Circulaire,Concept,,,
Décret,Concept,,,
Abrogé,Constante,,,
En vigueur,Constante,,,
Code,Constante,,,Recueil de lois ou de règles juridiques
Livre,Constante,,,
Titre,Constante,,,
Article,Constante,,,Un article est une prescription contenue dans un texte législatif
Chapitre,Constante,,,
Section,Constante,,,
Paragraphe,Constante,,,
Code civil,Instance,,,Code juridique qui regroupe les lois relatives au droit civil français
Livre Ier : Des personnes,Instance,,,
Titre Ier : Des droits civils,Instance,,,
Article 9-1,Instance,,,
Loi n°2000-516 du 15 juin 2000,Instance,,,
Ordonnance n°96-267 du 28 mars 1996,Instance,,,
16 juin 2000,Instance,,,
JORF 16 juin 2000,Instance,,,
Loi n°2000-516 du 15 juin 2000 - art. 91 (),Instance,,,
relatives à,Relation,,,
modifié par,Relation,,,
cité par,Relation,,,
codifié par,Relation,,,
créé par,Relation,,,
modifié par,Relation,,,
version de,Relation,,,
abrogé par,Relation,,,
publié par,Relation,,,
